รหัสวิชา,รายวิชา,นก.,ก่อนกลางถาค,หลังกลางภาค,กลางภาค,ปลายภาค,ได้,ร้อยละ,เต็มก่อนกลางภาค,F Score Final,เต็มกลางภาค,เต็มปลายภาค,เต็ม,ผลการเรียนปกติ,แก้ตัว,เรียนซ้ำ,เกรด,Remark
ท21101,ภาษาไทย,1.50,21.00,32.00,13.00,12.00,78.00,78.00,30.00,40.00,15.00,15.00,100.00,3.5,,,3.5,
ค21101,คณิตศาสตร์,1.50,29.00,21.00,11.00,11.00,72.00,72.00,35.00,35.00,15.00,15.00,100.00,3,,,3,
ว21101,วิทยาศาสตร์โลก และอวกาศ,0.50,28.00,28.00,10.00,15.00,81.00,81.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว21102,วิทยาศาสตร์กายภาพ(เคมี),0.50,27.00,27.00,17.00,17.00,88.00,88.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว21103,วิทยาศาสตร์ชีวภาพ,0.50,25.00,28.00,10.00,12.00,75.00,75.00,30.00,30.00,20.00,20.00,100.00,3.5,,,3.5,
ว21104,วิทยาศาสตร์(เทคโนโลยี),0.50,27.00,33.00,8.10,11.00,79.10,79.10,30.00,40.00,15.00,15.00,100.00,3.5,,,3.5,
ส21101,สังคมศึกษา ศาสนาและวัฒนธรรม,1.50,25.00,22.00,14.00,11.00,72.00,72.00,35.00,35.00,15.00,15.00,100.00,3,,,3,
ส21102,ประวัติศาสตร์,0.50,26.00,28.00,8.00,8.00,70.00,70.00,35.00,35.00,15.00,15.00,100.00,3,,,3,
พ21101,สุขศึกษาและพลศึกษา,1.00,40.00,31.00,9.00,8.00,88.00,88.00,40.00,40.00,10.00,10.00,100.00,4,,,4,
ศ21101,ศิลปะ,1.00,31.00,30.00,7.00,5.00,73.00,73.00,40.00,40.00,10.00,10.00,100.00,3,,,3,
ง21101,การงานอาชีพ1,0.50,35.00,25.00,9.00,9.00,78.00,78.00,40.00,40.00,10.00,10.00,100.00,3.5,,,3.5,
อ21101,ภาษาอังกฤษ,1.50,25.00,31.00,14.00,13.00,83.00,83.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ค21201,คณิตศาสตร์,1.00,26.00,33.00,7.00,14.00,80.00,80.00,35.00,35.00,15.00,15.00,100.00,4,,,4,
ว20261,โครงงานโลกทั้งระบบ,1.00,26.00,24.00,13.00,15.00,78.00,78.00,30.00,30.00,20.00,20.00,100.00,3.5,,,3.5,
ว20281,เริ่มต้นกับโครงงาน,0.50,27.00,26.00,17.00,17.00,87.00,87.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว21201,คอมพิวเตอร์,0.50,24.00,30.00,8.10,11.00,73.10,73.10,30.00,40.00,15.00,15.00,100.00,3,,,3,
จ20201,ภาษาจีน1,1.00,34.40,25.80,10.00,14.00,84.20,84.20,40.00,30.00,15.00,15.00,100.00,4,,,4,
ก21901,ลูกเสือ/เนตรนารี1,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก21902,กิจกรรมชุมนุม1,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก21903,กิจกรรมแนะแนว1,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก21904,กิจกรรมเพื่อสังคมและสาธารณประโยชน์1,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
