รหัสวิชา,รายวิชา,นก.,ก่อนกลางถาค,หลังกลางภาค,กลางภาค,ปลายภาค,ได้,ร้อยละ,เต็มก่อนกลางภาค,F Score Final,เต็มกลางภาค,เต็มปลายภาค,เต็ม,ผลการเรียนปกติ,แก้ตัว,เรียนซ้ำ,เกรด,Remark
ท30104,วรรณคดีกับชีวิต,1.00,24.00,24.00,15.00,15.00,78.00,78.00,30.00,30.00,20.00,20.00,100.00,3.5,,,3.5,
ส30104,ประวัติศาสตร์ไทย 1,1.00,18.00,18.00,24.00,25.00,85.00,85.00,20.00,20.00,30.00,30.00,100.00,4,,,4,
พ30104,สุขศึกษาและพลศึกษา 4,0.50,26.00,26.00,17.00,19.00,88.00,88.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ศ30104,สุนทรียนาฏศิลป์,0.50,29.00,40.00,18.00,10.00,97.00,97.00,30.00,40.00,20.00,10.00,100.00,4,,,4,
ค30201,แคลคูลัสเบื้องต้น 1,1.50,25.00,20.00,20.00,5.00,70.00,70.00,25.00,20.00,25.00,30.00,100.00,3,,,3,
ค30222,สถิติเพื่อการวิจัยเบื้องต้น,1.00,29.00,29.00,17.00,10.00,85.00,85.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ค30224,การประยุกต์ลำดับอนุกรมเกี่ยวกับการเงิน,0.50,27.00,25.00,19.00,9.00,80.00,80.00,30.00,30.00,20.00,20.00,100.00,4,,,4,
ว30203,ไฟฟ้าและแม่เหล็ก,2.00,30.00,27.00,14.00,4.00,75.00,75.00,30.00,30.00,20.00,20.00,100.00,3.5,,,3.5,
ว30223,อินทรีย์เคมีและสารชีวโมเลกุล,1.50,20.50,19.50,14.00,16.70,70.70,70.70,25.00,25.00,20.00,30.00,100.00,3,,,3,
ว30243,กายวิภาคศาสตร์และสรีรวิทยาของสัตว์,1.50,18.00,27.00,14.00,26.00,85.00,85.00,20.00,30.00,20.00,30.00,100.00,4,,,4,
ว30287,โครงงานวิทยาศาสตร์,2.00,15.70,28.20,17.00,23.70,84.60,84.60,20.00,30.00,20.00,30.00,100.00,4,,,4,
ส30202,การบูรณาการความรู้ 1,1.00,27.00,23.00,29.00,14.00,93.00,93.00,30.00,25.00,30.00,15.00,100.00,4,,,4,
อ30201,ภาษาอังกฤษวิชาการ 1,2.00,21.00,21.00,14.50,13.50,70.00,70.00,30.00,30.00,20.00,20.00,100.00,3,,,3,
ก32907,กิจกรรมชุมนุม,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก32908,ออกกำลังกายและเล่นกีฬา,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก32909,กิจกรรมบำเพ็ญสาธารณประโยชน์,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก32910,อ่านหนังสือที่โรงเรียนกำหนด,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก32911,พบครูที่ปรึกษาประจำชั้น,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
ก32912,การฟังบรรยาย,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ผ,,,ผ,
